id_luta;sequencia;momento;id_quem_faz;id_quem_recebe;id_acao;id_tecnica;id_direcao;id_pontuacao;id_motivo_penalizacao
1;1;0001-01-01 00:00:03.68-03:12:48 BC;2;21;2;;;;
1;2;0001-01-01 00:00:06.91-03:12:48 BC;2;21;4;;;;
1;3;0001-01-01 00:00:08.833-03:12:48 BC;2;21;11;;;;
1;4;0001-01-01 00:00:09.363-03:12:48 BC;2;21;46;;;;
1;5;0001-01-01 00:00:19.402-03:12:48 BC;1;;24;;;;
1;6;0001-01-01 00:00:28.658-03:12:48 BC;2;21;2;;;;
1;7;0001-01-01 00:00:32.767-03:12:48 BC;2;21;4;;;;
1;8;0001-01-01 00:00:43.324-03:12:48 BC;2;21;11;;;;
1;9;0001-01-01 00:01:41.781-03:12:48 BC;2;21;18;;;;
1;10;0001-01-01 00:01:41.781-03:12:48 BC;2;21;46;;;;
1;11;0001-01-01 00:01:46.443-03:12:48 BC;1;;24;;;;
1;12;0001-01-01 00:02:03.177-03:12:48 BC;2;21;4;;;;
1;13;0001-01-01 00:02:05.322-03:12:48 BC;1;;31;;;;
1;14;0001-01-01 00:02:05.91-03:12:48 BC;2;21;2;;;;
1;15;0001-01-01 00:02:12.504-03:12:48 BC;2;21;4;;;;
1;16;0001-01-01 00:02:17.573-03:12:48 BC;2;21;12;;;;
1;17;0001-01-01 00:02:26.617-03:12:48 BC;2;21;15;;;;
1;18;0001-01-01 00:02:29.895-03:12:48 BC;2;21;51;;;;
1;19;0001-01-01 00:02:34.896-03:12:48 BC;2;21;17;77;4;;
1;20;0001-01-01 00:02:37.566-03:12:48 BC;2;21;46;;;;
1;21;0001-01-01 00:03:21.727-03:12:48 BC;1;;24;;;;
1;22;0001-01-01 00:03:30.323-03:12:48 BC;2;21;32;;;;
1;23;0001-01-01 00:03:36.156-03:12:48 BC;2;21;2;;;;
1;24;0001-01-01 00:03:39.518-03:12:48 BC;2;21;11;;;;
1;25;0001-01-01 00:03:49.839-03:12:48 BC;2;21;18;;;;
1;26;0001-01-01 00:03:52.468-03:12:48 BC;1;;24;;;;
1;27;0001-01-01 00:04:03.01-03:12:48 BC;2;21;2;;;;
1;28;0001-01-01 00:04:05.969-03:12:48 BC;2;21;16;;;;
1;29;0001-01-01 00:04:14.83-03:12:48 BC;2;21;11;;;;
1;30;0001-01-01 00:05:01.302-03:12:48 BC;2;21;55;;;;
1;31;0001-01-01 00:05:01.552-03:12:48 BC;2;21;17;134;4;;
1;32;0001-01-01 00:05:02.621-03:12:48 BC;2;21;46;;;;
1;33;0001-01-01 00:05:09.617-03:12:48 BC;1;;24;;;;
1;34;0001-01-01 00:05:17.955-03:12:48 BC;2;21;2;;;;
1;35;0001-01-01 00:05:21.196-03:12:48 BC;2;21;4;;;;
1;36;0001-01-01 00:05:26.921-03:12:48 BC;2;21;11;;;;
1;37;0001-01-01 00:05:36.338-03:12:48 BC;2;21;17;40;6;;
1;38;0001-01-01 00:05:36.679-03:12:48 BC;2;21;46;;;;
1;39;0001-01-01 00:05:41.244-03:12:48 BC;1;;24;;;;
1;40;0001-01-01 00:05:47.817-03:12:48 BC;2;21;2;;;;
1;41;0001-01-01 00:05:51.453-03:12:48 BC;2;21;11;;;;
1;42;0001-01-01 00:05:53.913-03:12:48 BC;2;21;56;;;;
1;43;0001-01-01 00:05:56.494-03:12:48 BC;2;21;17;134;4;;
1;44;0001-01-01 00:05:58.696-03:12:48 BC;1;;38;;;;
2;1;0001-01-01 00:00:03.672-03:12:48 BC;2;36;33;;;;
2;2;0001-01-01 00:00:08.574-03:12:48 BC;2;36;32;;;;
2;3;0001-01-01 00:00:13.961-03:12:48 BC;2;36;1;;;;
2;4;0001-01-01 00:00:15.947-03:12:48 BC;2;36;9;;;;
2;5;0001-01-01 00:00:17.475-03:12:48 BC;2;36;19;;;;
2;6;0001-01-01 00:00:17.475-03:12:48 BC;2;36;17;7;7;;
2;7;0001-01-01 00:00:17.475-03:12:48 BC;1;;24;;;;
2;8;0001-01-01 00:00:23.349-03:12:48 BC;2;36;33;;;;
2;9;0001-01-01 00:00:27.06-03:12:48 BC;2;36;1;;;;
