JUDOCA;IND_SUSTENTACAO;TAM_MIN_PADRAO;ITENS_OBRIGATORIOS;NUM_PADROES;TEMPO_ALGORITMO (s);TEMPO_TRADUCAO (s);ARQUIVO
BISCHOF;1,0;;;10;0,015;0,016;Traducao_BISCHOF_1.0.CSV
BISCHOF;0,9;;;58;0,016;0,0;Traducao_BISCHOF_0.9.CSV
BISCHOF;0,8;;;207;0,016;0,016;Traducao_BISCHOF_0.8.CSV
BISCHOF;0,7;;;722;0,031;0,031;Traducao_BISCHOF_0.7.CSV
BISCHOF;0,6;;;6317;0,109;0,156;Traducao_BISCHOF_0.6.CSV
BISCHOF;0,5;;;91611;1,501;1,046;Traducao_BISCHOF_0.5.CSV
BISCHOF;0,4;;;1291388;5,798;8,613;Traducao_BISCHOF_0.4.CSV
BISCHOF;1,0;4;;0;0,0;0,0;Traducao_BISCHOF_1.0_4.CSV
BISCHOF;0,9;4;;22;0,0;0,015;Traducao_BISCHOF_0.9_4.CSV
BISCHOF;0,8;4;;152;0,016;0,0;Traducao_BISCHOF_0.8_4.CSV
BISCHOF;0,7;4;;617;0,015;0,0;Traducao_BISCHOF_0.7_4.CSV
BISCHOF;0,6;4;;6067;0,047;0,031;Traducao_BISCHOF_0.6_4.CSV
BISCHOF;0,5;4;;91087;0,473;0,609;Traducao_BISCHOF_0.5_4.CSV
BISCHOF;0,4;4;;1290405;5,797;8,11;Traducao_BISCHOF_0.4_4.CSV
BISCHOF;1,0;;2722;0;0,0;0,0;Traducao_BISCHOF_1.0_2722.CSV
BISCHOF;0,9;;2722;0;0,0;0,031;Traducao_BISCHOF_0.9_2722.CSV
BISCHOF;0,8;;2722;0;0,0;0,0;Traducao_BISCHOF_0.8_2722.CSV
BISCHOF;0,7;;2722;0;0,0;0,0;Traducao_BISCHOF_0.7_2722.CSV
BISCHOF;0,6;;2722;0;0,016;0,0;Traducao_BISCHOF_0.6_2722.CSV
BISCHOF;0,5;;2722;0;0,0;0,0;Traducao_BISCHOF_0.5_2722.CSV
BISCHOF;0,4;;2722;0;0,0;0,0;Traducao_BISCHOF_0.4_2722.CSV
BISCHOF;0,3;;2722;0;0,0;0,0;Traducao_BISCHOF_0.3_2722.CSV
GUILHEIRO;1,0;;;21;0,0;0,0;Traducao_GUILHEIRO_1.0.CSV
