SUST.;ELEMENTOS;ACOES;PADRAO
8;1;1;(ANTEROPOSTERIOR ESQUERDA)
8;1;1;(TENTATIVA DE PEGADA)
8;1;1;(GOLA DIREITA)
8;1;1;(POSI플O DEFENSIVA)
8;2;2;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA)
8;3;3;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA)
8;4;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (GOLA DIREITA)
8;3;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA DIREITA)
8;3;3;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (GOLA DIREITA)
8;4;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (GOLA DIREITA) (TENTATIVA DE PEGADA)
8;4;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (GOLA DIREITA) (POSI플O DEFENSIVA)
8;5;5;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (GOLA DIREITA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA)
8;3;3;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (POSI플O DEFENSIVA)
8;4;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA)
8;4;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (POSI플O DEFENSIVA) (POSI플O DEFENSIVA)
8;5;5;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (POSI플O DEFENSIVA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA)
8;2;3;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA, GOLA DIREITA)
8;3;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA, GOLA DIREITA) (TENTATIVA DE PEGADA)
8;3;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA, GOLA DIREITA) (POSI플O DEFENSIVA)
8;4;5;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA, GOLA DIREITA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA)
8;4;5;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA, GOLA DIREITA) (POSI플O DEFENSIVA) (POSI플O DEFENSIVA)
8;5;6;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA, GOLA DIREITA) (POSI플O DEFENSIVA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA)
8;2;2;(ANTEROPOSTERIOR ESQUERDA) (GOLA DIREITA)
8;3;3;(ANTEROPOSTERIOR ESQUERDA) (GOLA DIREITA) (TENTATIVA DE PEGADA)
8;3;3;(ANTEROPOSTERIOR ESQUERDA) (GOLA DIREITA) (POSI플O DEFENSIVA)
8;4;4;(ANTEROPOSTERIOR ESQUERDA) (GOLA DIREITA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA)
