SUST.;ELEMENTOS;ACOES;PADRAO
3;1;1;(IPPON)
3;4;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (IPPON)
3;3;3;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (IPPON)
3;2;2;(ANTEROPOSTERIOR DIREITA) (IPPON)
3;2;3;(ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (IPPON)
3;4;4;(ANTEROPOSTERIOR ESQUERDA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (IPPON)
3;3;3;(ANTEROPOSTERIOR ESQUERDA) (ANTEROPOSTERIOR DIREITA) (IPPON)
3;3;4;(ANTEROPOSTERIOR ESQUERDA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (IPPON)
3;4;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (IPPON)
3;4;5;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (IPPON)
3;4;4;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (GOLA ESQUERDA) (IPPON)
3;3;3;(ANTEROPOSTERIOR ESQUERDA) (TENTATIVA DE PEGADA) (IPPON)
3;3;3;(ANTEROPOSTERIOR ESQUERDA) (GOLA ESQUERDA) (IPPON)
3;4;4;(ANTEROPOSTERIOR ESQUERDA) (MANGA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (IPPON)
3;4;5;(ANTEROPOSTERIOR ESQUERDA) (MANGA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (IPPON)
3;4;4;(ANTEROPOSTERIOR ESQUERDA) (MANGA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (IPPON)
3;4;4;(ANTEROPOSTERIOR ESQUERDA) (MANGA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA) (IPPON)
3;3;3;(ANTEROPOSTERIOR ESQUERDA) (MANGA ESQUERDA E MANGA DIREITA) (IPPON)
3;2;2;(ANTEROPOSTERIOR ESQUERDA) (IPPON)
3;4;4;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (IPPON)
3;3;3;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (IPPON)
3;3;4;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (IPPON)
3;4;4;(TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (IPPON)
3;3;3;(TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (IPPON)
3;3;3;(TENTATIVA DE PEGADA) (GOLA ESQUERDA) (IPPON)
3;2;2;(TENTATIVA DE PEGADA) (IPPON)
3;2;2;(GOLA ESQUERDA) (IPPON)
3;3;3;(MANGA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (IPPON)
3;3;4;(MANGA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (IPPON)
3;3;3;(MANGA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (IPPON)
3;3;3;(MANGA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA) (IPPON)
3;2;2;(MANGA ESQUERDA E MANGA DIREITA) (IPPON)
3;4;4;(GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (IPPON)
3;3;3;(GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (IPPON)
3;3;4;(GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (IPPON)
3;4;4;(GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (IPPON)
3;4;5;(GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (IPPON)
3;4;4;(GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (GOLA ESQUERDA) (IPPON)
3;3;3;(GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (IPPON)
3;3;3;(GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA) (IPPON)
3;2;2;(GOLA ESQUERDA E MANGA DIREITA) (IPPON)
