SUST.;ELEMENTOS;ACOES;PADRAO
10;1;1;(ANTEROPOSTERIOR DIREITA)
10;1;1;(TENTATIVA DE PEGADA)
10;1;1;(GOLA ESQUERDA)
10;1;1;(GOLA ESQUERDA E MANGA DIREITA)
10;2;2;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA)
10;3;3;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA)
10;1;2;(ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA)
10;2;2;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
10;3;3;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA)
10;2;3;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA)
10;2;2;(TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA)
10;3;3;(TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA)
10;2;2;(TENTATIVA DE PEGADA) (GOLA ESQUERDA)
10;2;2;(GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
10;3;3;(GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA)
10;2;3;(GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA)
10;2;2;(GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA)
10;3;3;(GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
10;3;4;(GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA)
10;3;3;(GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (GOLA ESQUERDA)
10;2;2;(GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA)
