SUST.;ELEMENTOS;ACOES;PADRAO
2;1;1;(IPPON)
2;2;2;(ANTEROPOSTERIOR DIREITA) (IPPON)
2;3;3;(ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;2;3;(ANTEROPOSTERIOR DIREITA, GOLA DIREITA) (IPPON)
2;3;4;(ANTEROPOSTERIOR DIREITA, GOLA DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;2;4;(ANTEROPOSTERIOR DIREITA, GOLA DIREITA, GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;3;5;(ANTEROPOSTERIOR DIREITA, GOLA DIREITA, GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;2;3;(ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (IPPON)
2;3;4;(ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA) (GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;2;3;(ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;3;4;(ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;2;2;(GOLA DIREITA) (IPPON)
2;3;3;(GOLA DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;2;3;(GOLA DIREITA, GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;3;4;(GOLA DIREITA, GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;2;2;(GOLA ESQUERDA) (IPPON)
2;3;3;(GOLA ESQUERDA) (GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;2;2;(GOLA ESQUERDA E MANGA DIREITA) (IPPON)
2;3;3;(GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (IPPON)
